天外频道,#genre#
东森电影,http://171.108.239.76:8181/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
东森超视,http://171.108.239.76:8181/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
东森超视,http://171.108.239.72:8181/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
东森超视,http://171.108.239.74:8181/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.66:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.72:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.74:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.76:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港,http://171.108.239.66:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港,http://171.108.239.72:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港,http://171.108.239.74:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰香港,http://171.108.239.76:8181/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
天映电影,http://171.108.239.66:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
天映电影,http://171.108.239.72:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
天映电影,http://171.108.239.74:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
天映电影,http://171.108.239.76:8181/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
星河,http://171.108.239.72:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
星河,http://171.108.239.6:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
星河,http://171.108.239.66:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
星河,http://171.108.239.74:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
星河,http://171.108.239.76:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
星河,http://171.108.239.109:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
私人影院,http://171.108.239.74:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
私人影院,http://171.108.239.66:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
私人影院,http://171.108.239.72:8181/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影[720*576],http://171.108.239.66:8181/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影[720*576],http://219.159.194.4:8181/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影[720*576],http://171.108.239.72:8181/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影[720*576],http://171.108.239.74:8181/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影[720*576],http://171.108.239.76:8181/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
龙祥电影,http://171.108.239.76:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
龙祥电影,http://171.108.239.66:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
龙祥电影,http://171.108.239.72:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
龙祥电影,http://171.108.239.74:8181/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
